R,G,B,,Rbar,Gbar,Bbar
29,107,35,,0.169590643,0.625730994,0.204678363
29,106,35,,0.170588235,0.623529412,0.205882353
30,108,36,,0.172413793,0.620689655,0.206896552
30,110,37,,0.169491525,0.621468927,0.209039548
31,108,35,,0.17816092,0.620689655,0.201149425
31,109,37,,0.175141243,0.615819209,0.209039548
34,89,41,,0.207317073,0.542682927,0.25
30,87,40,,0.191082803,0.554140127,0.25477707
32,89,41,,0.197530864,0.549382716,0.25308642
33,89,39,,0.204968944,0.552795031,0.242236025
32,89,41,,0.197530864,0.549382716,0.25308642
32,90,41,,0.196319018,0.552147239,0.251533742
34,97,41,,0.197674419,0.563953488,0.238372093
34,97,40,,0.198830409,0.567251462,0.233918129
36,98,41,,0.205714286,0.56,0.234285714
35,97,41,,0.202312139,0.560693642,0.23699422
37,100,42,,0.206703911,0.558659218,0.234636872
36,98,42,,0.204545455,0.556818182,0.238636364
37,102,43,,0.203296703,0.56043956,0.236263736
37,101,42,,0.205555556,0.561111111,0.233333333
35,100,41,,0.198863636,0.568181818,0.232954545
37,102,42,,0.20441989,0.563535912,0.232044199
37,102,44,,0.202185792,0.557377049,0.240437158
36,101,42,,0.201117318,0.56424581,0.234636872
39,101,43,,0.213114754,0.551912568,0.234972678
38,101,44,,0.207650273,0.551912568,0.240437158
39,101,43,,0.213114754,0.551912568,0.234972678
41,103,45,,0.216931217,0.544973545,0.238095238
38,101,44,,0.207650273,0.551912568,0.240437158
38,102,45,,0.205405405,0.551351351,0.243243243
39,102,45,,0.209677419,0.548387097,0.241935484
35,96,42,,0.202312139,0.554913295,0.242774566
34,95,40,,0.201183432,0.562130178,0.236686391
35,95,40,,0.205882353,0.558823529,0.235294118
36,96,41,,0.208092486,0.554913295,0.23699422
34,95,41,,0.2,0.558823529,0.241176471
35,97,43,,0.2,0.554285714,0.245714286
27,90,36,,0.176470588,0.588235294,0.235294118
28,91,39,,0.17721519,0.575949367,0.246835443
26,89,36,,0.17218543,0.589403974,0.238410596
26,89,35,,0.173333333,0.593333333,0.233333333
25,88,35,,0.168918919,0.594594595,0.236486486
31,97,38,,0.186746988,0.584337349,0.228915663
32,99,39,,0.188235294,0.582352941,0.229411765
30,98,39,,0.179640719,0.586826347,0.233532934
31,99,39,,0.183431953,0.585798817,0.230769231
32,100,40,,0.186046512,0.581395349,0.23255814
32,99,39,,0.188235294,0.582352941,0.229411765
30,98,39,,0.179640719,0.586826347,0.233532934
31,104,36,,0.18128655,0.608187135,0.210526316
32,106,37,,0.182857143,0.605714286,0.211428571
30,103,36,,0.177514793,0.609467456,0.213017751
29,103,36,,0.172619048,0.613095238,0.214285714
29,103,37,,0.171597633,0.609467456,0.218934911
30,104,35,,0.177514793,0.615384615,0.207100592
32,105,37,,0.183908046,0.603448276,0.212643678
29,103,36,,0.172619048,0.613095238,0.214285714
23,93,30,,0.157534247,0.636986301,0.205479452
22,92,30,,0.152777778,0.638888889,0.208333333
22,92,29,,0.153846154,0.643356643,0.202797203
21,90,29,,0.15,0.642857143,0.207142857
24,91,31,,0.164383562,0.623287671,0.212328767
23,91,30,,0.159722222,0.631944444,0.208333333
23,92,31,,0.157534247,0.630136986,0.212328767
32,99,37,,0.19047619,0.589285714,0.220238095
34,101,40,,0.194285714,0.577142857,0.228571429
33,101,40,,0.189655172,0.58045977,0.229885057
34,101,39,,0.195402299,0.58045977,0.224137931
33,100,37,,0.194117647,0.588235294,0.217647059
33,101,40,,0.189655172,0.58045977,0.229885057
34,100,39,,0.196531792,0.578034682,0.225433526
32,99,38,,0.189349112,0.585798817,0.224852071
34,101,38,,0.196531792,0.583815029,0.219653179
33,100,38,,0.192982456,0.584795322,0.222222222
30,94,38,,0.185185185,0.580246914,0.234567901
30,95,38,,0.18404908,0.582822086,0.233128834
31,94,37,,0.191358025,0.580246914,0.228395062
31,95,38,,0.18902439,0.579268293,0.231707317
31,95,37,,0.190184049,0.582822086,0.226993865
30,95,38,,0.18404908,0.582822086,0.233128834
32,95,38,,0.193939394,0.575757576,0.23030303
44,112,44,,0.22,0.56,0.22
43,109,43,,0.220512821,0.558974359,0.220512821
44,112,44,,0.22,0.56,0.22
43,111,45,,0.216080402,0.557788945,0.226130653
44,111,43,,0.222222222,0.560606061,0.217171717
44,111,45,,0.22,0.555,0.225
33,96,39,,0.196428571,0.571428571,0.232142857
34,97,41,,0.197674419,0.563953488,0.238372093
33,96,40,,0.195266272,0.568047337,0.236686391
33,96,39,,0.196428571,0.571428571,0.232142857
34,97,39,,0.2,0.570588235,0.229411765
32,96,39,,0.191616766,0.574850299,0.233532934
35,99,42,,0.198863636,0.5625,0.238636364
36,101,43,,0.2,0.561111111,0.238888889
37,100,41,,0.207865169,0.561797753,0.230337079
36,100,41,,0.203389831,0.564971751,0.231638418
36,101,41,,0.202247191,0.56741573,0.230337079
35,99,41,,0.2,0.565714286,0.234285714
34,99,41,,0.195402299,0.568965517,0.235632184
,,,,,,
Mean,,,,Average,,
32.9,98.77,39.09,,0.191789609,0.579413171,0.22879722
Standard Deviation,,,,Standard Deviation,,
4.846116846,5.880725235,3.657274472,,0.016287046,0.025467164,0.012516396
