R,G,B,,Rbar,Gbar,Bbar
49,163,40,,0.194444444,0.646825397,0.158730159
47,161,38,,0.191056911,0.654471545,0.154471545
47,163,40,,0.188,0.652,0.16
47,162,40,,0.18875502,0.65060241,0.16064257
47,163,39,,0.18875502,0.654618474,0.156626506
48,164,40,,0.19047619,0.650793651,0.158730159
49,164,40,,0.193675889,0.648221344,0.158102767
47,162,38,,0.190283401,0.655870445,0.153846154
47,163,40,,0.188,0.652,0.16
48,164,41,,0.18972332,0.648221344,0.162055336
47,162,39,,0.189516129,0.653225806,0.157258065
41,153,36,,0.17826087,0.665217391,0.156521739
43,155,37,,0.182978723,0.659574468,0.157446809
43,155,37,,0.182978723,0.659574468,0.157446809
43,155,37,,0.182978723,0.659574468,0.157446809
43,155,37,,0.182978723,0.659574468,0.157446809
41,153,35,,0.179039301,0.668122271,0.152838428
41,154,36,,0.177489177,0.666666667,0.155844156
42,153,36,,0.181818182,0.662337662,0.155844156
41,153,36,,0.17826087,0.665217391,0.156521739
41,153,36,,0.17826087,0.665217391,0.156521739
42,153,35,,0.182608696,0.665217391,0.152173913
41,153,36,,0.17826087,0.665217391,0.156521739
41,153,36,,0.17826087,0.665217391,0.156521739
41,152,35,,0.179824561,0.666666667,0.153508772
41,152,35,,0.179824561,0.666666667,0.153508772
32,130,31,,0.165803109,0.67357513,0.160621762
33,132,32,,0.16751269,0.670050761,0.162436548
30,129,30,,0.158730159,0.682539683,0.158730159
33,131,32,,0.168367347,0.668367347,0.163265306
32,129,31,,0.166666667,0.671875,0.161458333
32,130,31,,0.165803109,0.67357513,0.160621762
31,129,31,,0.162303665,0.67539267,0.162303665
41,130,36,,0.198067633,0.628019324,0.173913043
40,129,37,,0.194174757,0.626213592,0.17961165
40,129,37,,0.194174757,0.626213592,0.17961165
40,129,37,,0.194174757,0.626213592,0.17961165
41,130,36,,0.198067633,0.628019324,0.173913043
41,129,36,,0.199029126,0.626213592,0.174757282
40,129,37,,0.194174757,0.626213592,0.17961165
39,128,36,,0.192118227,0.630541872,0.177339901
39,128,36,,0.192118227,0.630541872,0.177339901
36,135,33,,0.176470588,0.661764706,0.161764706
37,135,32,,0.181372549,0.661764706,0.156862745
37,137,35,,0.177033493,0.655502392,0.167464115
38,137,34,,0.181818182,0.655502392,0.162679426
38,136,34,,0.182692308,0.653846154,0.163461538
37,137,35,,0.177033493,0.655502392,0.167464115
37,136,34,,0.178743961,0.657004831,0.164251208
37,136,35,,0.177884615,0.653846154,0.168269231
46,142,38,,0.203539823,0.628318584,0.168141593
43,140,35,,0.197247706,0.642201835,0.160550459
45,141,36,,0.202702703,0.635135135,0.162162162
46,141,37,,0.205357143,0.629464286,0.165178571
47,151,39,,0.198312236,0.637130802,0.164556962
47,151,39,,0.198312236,0.637130802,0.164556962
46,151,38,,0.195744681,0.642553191,0.161702128
45,150,38,,0.193133047,0.643776824,0.163090129
46,151,39,,0.194915254,0.639830508,0.165254237
47,153,39,,0.19665272,0.640167364,0.163179916
46,153,40,,0.192468619,0.640167364,0.167364017
47,153,39,,0.19665272,0.640167364,0.163179916
47,154,39,,0.195833333,0.641666667,0.1625
45,152,39,,0.190677966,0.644067797,0.165254237
47,153,40,,0.195833333,0.6375,0.166666667
47,154,40,,0.195020747,0.639004149,0.165975104
48,148,38,,0.205128205,0.632478632,0.162393162
46,148,39,,0.197424893,0.635193133,0.167381974
46,147,38,,0.199134199,0.636363636,0.164502165
47,149,40,,0.199152542,0.631355932,0.169491525
45,147,38,,0.195652174,0.639130435,0.165217391
44,148,37,,0.192139738,0.64628821,0.161572052
44,149,38,,0.19047619,0.645021645,0.164502165
44,149,38,,0.19047619,0.645021645,0.164502165
44,149,37,,0.191304348,0.647826087,0.160869565
44,149,38,,0.19047619,0.645021645,0.164502165
43,149,38,,0.186956522,0.647826087,0.165217391
49,152,38,,0.205020921,0.635983264,0.158995816
47,153,37,,0.198312236,0.64556962,0.156118143
47,150,38,,0.2,0.638297872,0.161702128
49,152,38,,0.205020921,0.635983264,0.158995816
46,150,37,,0.197424893,0.643776824,0.158798283
53,151,47,,0.211155378,0.601593625,0.187250996
54,152,48,,0.212598425,0.598425197,0.188976378
56,154,48,,0.217054264,0.596899225,0.186046512
38,142,36,,0.175925926,0.657407407,0.166666667
41,144,38,,0.183856502,0.64573991,0.170403587
38,144,35,,0.175115207,0.66359447,0.161290323
43,139,38,,0.195454545,0.631818182,0.172727273
43,139,39,,0.194570136,0.628959276,0.176470588
42,139,38,,0.191780822,0.634703196,0.173515982
43,139,37,,0.196347032,0.634703196,0.168949772
40,137,36,,0.187793427,0.643192488,0.169014085
48,157,38,,0.197530864,0.646090535,0.156378601
48,158,39,,0.195918367,0.644897959,0.159183673
48,158,39,,0.195918367,0.644897959,0.159183673
48,156,38,,0.198347107,0.644628099,0.157024793
46,155,38,,0.192468619,0.648535565,0.158995816
48,157,39,,0.196721311,0.643442623,0.159836066
48,157,38,,0.197530864,0.646090535,0.156378601
,,,,,,
Mean,,,,Average,,
43.24,147.1,37.24,,0.189534375,0.646702524,0.163763101
Standard Deviation,,,,Standard Deviation,,
4.989119475,10.58825345,2.985216098,,0.011000556,0.015855767,0.007726468
