R,G,B,,Rbar,Gbar,Bbar
259,167,78,,0.513888889,0.331349206,0.154761905
260,169,80,,0.510805501,0.332023576,0.157170923
257,166,78,,0.512974052,0.331337325,0.155688623
258,167,78,,0.512922465,0.332007952,0.155069583
259,167,79,,0.512871287,0.330693069,0.156435644
260,169,80,,0.510805501,0.332023576,0.157170923
259,165,82,,0.511857708,0.326086957,0.162055336
259,167,83,,0.508840864,0.328094303,0.163064833
261,167,83,,0.510763209,0.326810176,0.162426614
260,165,82,,0.512820513,0.325443787,0.1617357
259,165,82,,0.511857708,0.326086957,0.162055336
259,164,81,,0.513888889,0.325396825,0.160714286
256,170,81,,0.504930966,0.33530572,0.159763314
255,170,81,,0.503952569,0.335968379,0.160079051
253,168,80,,0.50499002,0.335329341,0.159680639
255,170,81,,0.503952569,0.335968379,0.160079051
255,169,81,,0.504950495,0.334653465,0.16039604
253,168,79,,0.506,0.336,0.158
253,168,80,,0.50499002,0.335329341,0.159680639
255,169,81,,0.504950495,0.334653465,0.16039604
251,168,80,,0.503006012,0.336673347,0.160320641
250,168,79,,0.503018109,0.338028169,0.158953722
251,170,82,,0.499005964,0.337972167,0.163021869
253,170,81,,0.501984127,0.337301587,0.160714286
253,171,81,,0.500990099,0.338613861,0.16039604
230,151,75,,0.504385965,0.331140351,0.164473684
228,149,75,,0.504424779,0.329646018,0.165929204
229,149,73,,0.507760532,0.33037694,0.161862528
228,148,72,,0.508928571,0.330357143,0.160714286
227,148,72,,0.507829978,0.331096197,0.161073826
228,148,73,,0.5077951,0.329621381,0.162583519
223,142,74,,0.507972665,0.323462415,0.16856492
223,142,73,,0.50913242,0.324200913,0.166666667
224,144,75,,0.505643341,0.325056433,0.169300226
222,141,74,,0.508009153,0.322654462,0.169336384
227,143,75,,0.51011236,0.321348315,0.168539326
221,142,74,,0.505720824,0.324942792,0.169336384
213,139,70,,0.504739336,0.329383886,0.165876777
212,139,70,,0.503562945,0.330166271,0.166270784
212,139,70,,0.503562945,0.330166271,0.166270784
212,139,68,,0.505966587,0.331742243,0.162291169
212,140,70,,0.502369668,0.331753555,0.165876777
213,139,69,,0.505938242,0.330166271,0.163895487
231,158,74,,0.498920086,0.3412527,0.159827214
229,158,73,,0.497826087,0.343478261,0.158695652
228,157,74,,0.496732026,0.34204793,0.161220044
228,157,72,,0.498905908,0.343544858,0.157549234
229,158,73,,0.497826087,0.343478261,0.158695652
249,175,81,,0.493069307,0.346534653,0.16039604
247,174,81,,0.492031873,0.346613546,0.161354582
248,174,82,,0.492063492,0.345238095,0.162698413
249,176,83,,0.49015748,0.346456693,0.163385827
247,174,80,,0.493013972,0.347305389,0.159680639
239,159,74,,0.506355932,0.336864407,0.156779661
240,161,76,,0.503144654,0.337526205,0.15932914
240,158,74,,0.508474576,0.334745763,0.156779661
241,161,76,,0.5041841,0.336820084,0.158995816
259,168,85,,0.505859375,0.328125,0.166015625
258,167,84,,0.506876228,0.328094303,0.16502947
259,168,84,,0.506849315,0.328767123,0.164383562
225,152,73,,0.5,0.337777778,0.162222222
224,154,75,,0.494481236,0.33995585,0.165562914
222,152,72,,0.497757848,0.340807175,0.161434978
223,151,72,,0.5,0.338565022,0.161434978
225,153,75,,0.496688742,0.337748344,0.165562914
265,171,84,,0.509615385,0.328846154,0.161538462
265,169,83,,0.512572534,0.32688588,0.160541586
265,172,86,,0.506692161,0.328871893,0.164435946
234,145,70,,0.521158129,0.322939866,0.155902004
233,147,70,,0.517777778,0.326666667,0.155555556
233,147,69,,0.518930958,0.327394209,0.153674833
234,149,69,,0.517699115,0.329646018,0.152654867
260,164,81,,0.514851485,0.324752475,0.16039604
261,168,84,,0.50877193,0.32748538,0.16374269
257,167,83,,0.506903353,0.32938856,0.163708087
261,167,89,,0.50483559,0.323017408,0.172147002
257,167,89,,0.500974659,0.325536062,0.173489279
258,169,89,,0.5,0.32751938,0.17248062
260,168,91,,0.500963391,0.323699422,0.175337187
233,150,79,,0.504329004,0.324675325,0.170995671
253,167,80,,0.506,0.334,0.16
251,165,78,,0.508097166,0.334008097,0.157894737
253,167,78,,0.508032129,0.335341365,0.156626506
231,161,73,,0.496774194,0.346236559,0.156989247
255,166,75,,0.514112903,0.334677419,0.151209677
255,166,75,,0.514112903,0.334677419,0.151209677
255,166,76,,0.513078471,0.334004024,0.152917505
248,160,78,,0.510288066,0.329218107,0.160493827
248,160,78,,0.510288066,0.329218107,0.160493827
225,153,71,,0.501113586,0.340757238,0.158129176
222,152,69,,0.501128668,0.343115124,0.155756208
217,150,68,,0.498850575,0.344827586,0.156321839
207,146,65,,0.495215311,0.349282297,0.155502392
208,146,66,,0.495238095,0.347619048,0.157142857
186,135,59,,0.489473684,0.355263158,0.155263158
229,156,73,,0.5,0.340611354,0.159388646
203,143,65,,0.493917275,0.347931873,0.158150852
201,141,64,,0.495073892,0.34729064,0.157635468
206,143,65,,0.497584541,0.345410628,0.157004831
204,149,69,,0.483412322,0.353080569,0.163507109
,,,,,,
Mean,,,,Average,,
239.6,158.56,76.49,,0.504639591,0.334220755,0.161139654
Standard Deviation,,,,Standard Deviation,,
18.73364607,11.1394467,6.129074608,,0.007007919,0.007691796,0.004791663
