R,G,B,,Rbar,Gbar,Bbar
283,224,65,,0.494755245,0.391608392,0.113636364
284,223,64,,0.49737303,0.390542907,0.112084063
284,222,66,,0.496503497,0.388111888,0.115384615
284,224,64,,0.496503497,0.391608392,0.111888112
284,224,64,,0.496503497,0.391608392,0.111888112
284,224,65,,0.495636998,0.390924956,0.113438045
285,224,65,,0.496515679,0.390243902,0.113240418
283,223,63,,0.497363796,0.391915641,0.110720562
284,223,65,,0.496503497,0.38986014,0.113636364
293,234,69,,0.491610738,0.39261745,0.115771812
293,233,68,,0.493265993,0.392255892,0.114478114
294,234,69,,0.492462312,0.391959799,0.115577889
294,234,69,,0.492462312,0.391959799,0.115577889
293,232,68,,0.494097808,0.391231029,0.114671164
307,239,72,,0.496763754,0.386731392,0.116504854
308,239,70,,0.499189627,0.387358185,0.113452188
303,239,69,,0.495908347,0.391162029,0.112929624
308,240,72,,0.496774194,0.387096774,0.116129032
307,240,73,,0.49516129,0.387096774,0.117741935
315,245,72,,0.498417722,0.387658228,0.113924051
315,245,72,,0.498417722,0.387658228,0.113924051
316,244,71,,0.500792393,0.386687797,0.11251981
314,242,70,,0.501597444,0.38658147,0.111821086
335,264,78,,0.494830133,0.389955687,0.11521418
337,266,79,,0.494134897,0.390029326,0.115835777
334,263,77,,0.495548961,0.390207715,0.114243323
334,264,78,,0.49408284,0.390532544,0.115384615
335,265,78,,0.494100295,0.390855457,0.115044248
284,221,62,,0.500881834,0.389770723,0.109347443
284,222,61,,0.500881834,0.391534392,0.107583774
285,221,61,,0.502645503,0.389770723,0.107583774
285,221,61,,0.502645503,0.389770723,0.107583774
285,221,62,,0.501760563,0.389084507,0.10915493
304,236,71,,0.497545008,0.386252046,0.116202946
303,235,69,,0.499176277,0.387149918,0.113673806
303,236,69,,0.498355263,0.388157895,0.113486842
303,236,69,,0.498355263,0.388157895,0.113486842
328,250,74,,0.503067485,0.383435583,0.113496933
330,251,75,,0.50304878,0.382621951,0.114329268
329,250,74,,0.503828484,0.382848392,0.113323124
330,252,76,,0.501519757,0.382978723,0.11550152
287,214,66,,0.50617284,0.377425044,0.116402116
286,215,64,,0.50619469,0.380530973,0.113274336
0,217,66,,0,0.766784452,0.233215548
289,218,66,,0.504363002,0.380453752,0.115183246
287,216,65,,0.50528169,0.38028169,0.11443662
286,216,65,,0.504409171,0.380952381,0.114638448
290,223,69,,0.498281787,0.383161512,0.118556701
291,223,68,,0.5,0.383161512,0.116838488
291,224,68,,0.499142367,0.384219554,0.116638079
290,223,67,,0.5,0.384482759,0.115517241
290,224,69,,0.497427101,0.384219554,0.118353345
278,212,63,,0.502712477,0.383363472,0.113924051
279,214,64,,0.500897666,0.384201077,0.114901257
280,214,63,,0.502692998,0.384201077,0.113105925
280,213,63,,0.503597122,0.383093525,0.113309353
281,216,65,,0.5,0.384341637,0.115658363
330,256,77,,0.497737557,0.38612368,0.116138763
332,257,77,,0.498498498,0.385885886,0.115615616
332,255,76,,0.500754148,0.384615385,0.114630468
330,256,75,,0.49924357,0.387291982,0.113464448
326,258,76,,0.493939394,0.390909091,0.115151515
324,255,74,,0.496171516,0.39050536,0.113323124
325,256,75,,0.495426829,0.390243902,0.114329268
323,255,74,,0.495398773,0.391104294,0.113496933
336,265,77,,0.495575221,0.390855457,0.113569322
341,267,79,,0.49636099,0.388646288,0.114992722
336,266,77,,0.494845361,0.391752577,0.113402062
335,264,76,,0.496296296,0.391111111,0.112592593
337,266,79,,0.494134897,0.390029326,0.115835777
321,258,72,,0.493087558,0.396313364,0.110599078
321,259,73,,0.491577335,0.396630934,0.11179173
322,260,73,,0.491603053,0.396946565,0.111450382
322,260,74,,0.490853659,0.396341463,0.112804878
315,245,68,,0.501592357,0.390127389,0.108280255
314,245,70,,0.499205087,0.389507154,0.111287758
313,243,69,,0.5008,0.3888,0.1104
314,244,68,,0.501597444,0.389776358,0.108626198
315,245,69,,0.500794913,0.389507154,0.109697933
309,247,72,,0.492038217,0.393312102,0.114649682
309,247,72,,0.492038217,0.393312102,0.114649682
307,244,70,,0.494363929,0.392914654,0.112721417
308,247,73,,0.49044586,0.393312102,0.116242038
295,226,67,,0.50170068,0.384353741,0.113945578
296,238,67,,0.492512479,0.396006656,0.111480865
299,239,69,,0.492586491,0.393739703,0.113673806
298,238,67,,0.494195688,0.394693201,0.111111111
295,234,69,,0.493311037,0.391304348,0.115384615
293,232,68,,0.494097808,0.391231029,0.114671164
295,234,69,,0.493311037,0.391304348,0.115384615
294,232,67,,0.495784148,0.391231029,0.112984823
302,226,68,,0.506711409,0.379194631,0.11409396
303,227,69,,0.505843072,0.378964942,0.115191987
304,226,69,,0.507512521,0.377295492,0.115191987
303,227,69,,0.505843072,0.378964942,0.115191987
303,225,67,,0.509243697,0.378151261,0.112605042
320,245,68,,0.505529226,0.387045814,0.107424961
319,244,68,,0.505546751,0.386687797,0.107765452
318,243,67,,0.506369427,0.386942675,0.106687898
317,243,67,,0.505582137,0.387559809,0.106858054
,,,,,,
Mean,,,,Average,,
302.79,238.06,69.6,,0.493422233,0.391930147,0.114647619
Standard Deviation,,,,Standard Deviation,,
35.52785079,15.72093759,4.653661532,,0.050044899,0.038129222,0.012250003
