R,G,B,,Rbar,Gbar,Bbar
196,38,24,,0.759689922,0.147286822,0.093023256
196,39,26,,0.750957854,0.149425287,0.099616858
195,38,24,,0.758754864,0.147859922,0.093385214
195,37,23,,0.764705882,0.145098039,0.090196078
195,39,25,,0.752895753,0.150579151,0.096525097
195,39,26,,0.75,0.15,0.1
196,39,26,,0.750957854,0.149425287,0.099616858
198,39,27,,0.75,0.147727273,0.102272727
197,40,27,,0.746212121,0.151515152,0.102272727
196,38,25,,0.756756757,0.146718147,0.096525097
199,40,26,,0.750943396,0.150943396,0.098113208
197,38,25,,0.757692308,0.146153846,0.096153846
199,39,26,,0.753787879,0.147727273,0.098484848
198,39,26,,0.752851711,0.148288973,0.098859316
194,38,26,,0.751937984,0.147286822,0.100775194
193,40,26,,0.745173745,0.154440154,0.1003861
194,39,26,,0.749034749,0.150579151,0.1003861
195,40,27,,0.744274809,0.152671756,0.103053435
194,38,24,,0.7578125,0.1484375,0.09375
194,38,24,,0.7578125,0.1484375,0.09375
194,38,26,,0.751937984,0.147286822,0.100775194
205,41,28,,0.748175182,0.149635036,0.102189781
207,42,27,,0.75,0.152173913,0.097826087
206,40,27,,0.754578755,0.146520147,0.098901099
206,42,29,,0.74368231,0.151624549,0.104693141
207,42,27,,0.75,0.152173913,0.097826087
207,42,27,,0.75,0.152173913,0.097826087
207,42,28,,0.747292419,0.151624549,0.101083032
194,38,26,,0.751937984,0.147286822,0.100775194
195,38,26,,0.752895753,0.146718147,0.1003861
194,38,25,,0.754863813,0.147859922,0.097276265
195,40,27,,0.744274809,0.152671756,0.103053435
196,40,27,,0.745247148,0.152091255,0.102661597
194,38,26,,0.751937984,0.147286822,0.100775194
194,39,26,,0.749034749,0.150579151,0.1003861
196,39,26,,0.750957854,0.149425287,0.099616858
217,41,28,,0.758741259,0.143356643,0.097902098
216,41,29,,0.755244755,0.143356643,0.101398601
216,40,28,,0.76056338,0.14084507,0.098591549
214,40,27,,0.761565836,0.142348754,0.096085409
216,41,29,,0.755244755,0.143356643,0.101398601
217,41,27,,0.761403509,0.143859649,0.094736842
218,43,29,,0.751724138,0.148275862,0.1
216,41,28,,0.757894737,0.143859649,0.098245614
193,36,22,,0.768924303,0.143426295,0.087649402
193,36,21,,0.772,0.144,0.084
192,36,23,,0.764940239,0.143426295,0.091633466
192,36,23,,0.764940239,0.143426295,0.091633466
192,36,23,,0.764940239,0.143426295,0.091633466
193,36,22,,0.768924303,0.143426295,0.087649402
193,36,22,,0.768924303,0.143426295,0.087649402
214,38,27,,0.76702509,0.136200717,0.096774194
215,41,29,,0.754385965,0.143859649,0.101754386
214,41,29,,0.753521127,0.144366197,0.102112676
214,41,29,,0.753521127,0.144366197,0.102112676
215,40,29,,0.757042254,0.14084507,0.102112676
215,40,29,,0.757042254,0.14084507,0.102112676
215,39,28,,0.762411348,0.138297872,0.09929078
209,39,27,,0.76,0.141818182,0.098181818
212,40,26,,0.762589928,0.143884892,0.09352518
210,40,25,,0.763636364,0.145454545,0.090909091
211,41,28,,0.753571429,0.146428571,0.1
211,41,27,,0.756272401,0.146953405,0.096774194
211,41,27,,0.756272401,0.146953405,0.096774194
209,39,26,,0.762773723,0.142335766,0.094890511
211,41,27,,0.756272401,0.146953405,0.096774194
210,40,26,,0.760869565,0.144927536,0.094202899
211,41,26,,0.758992806,0.147482014,0.09352518
199,39,25,,0.756653992,0.148288973,0.095057034
199,40,26,,0.750943396,0.150943396,0.098113208
200,40,25,,0.754716981,0.150943396,0.094339623
199,40,27,,0.748120301,0.15037594,0.101503759
197,38,24,,0.760617761,0.146718147,0.092664093
197,39,25,,0.754789272,0.149425287,0.095785441
199,40,27,,0.748120301,0.15037594,0.101503759
199,41,26,,0.748120301,0.154135338,0.097744361
197,39,25,,0.754789272,0.149425287,0.095785441
205,38,27,,0.759259259,0.140740741,0.1
207,39,27,,0.758241758,0.142857143,0.098901099
205,39,27,,0.756457565,0.143911439,0.099630996
205,37,26,,0.764925373,0.138059701,0.097014925
205,39,26,,0.759259259,0.144444444,0.096296296
204,38,26,,0.76119403,0.141791045,0.097014925
205,39,27,,0.756457565,0.143911439,0.099630996
204,39,27,,0.755555556,0.144444444,0.1
204,39,27,,0.755555556,0.144444444,0.1
204,38,26,,0.76119403,0.141791045,0.097014925
200,37,25,,0.763358779,0.141221374,0.095419847
200,38,25,,0.760456274,0.144486692,0.095057034
200,38,25,,0.760456274,0.144486692,0.095057034
201,40,27,,0.75,0.149253731,0.100746269
200,38,25,,0.760456274,0.144486692,0.095057034
199,37,24,,0.765384615,0.142307692,0.092307692
200,38,25,,0.760456274,0.144486692,0.095057034
199,37,24,,0.765384615,0.142307692,0.092307692
200,38,25,,0.760456274,0.144486692,0.095057034
198,42,27,,0.741573034,0.157303371,0.101123596
197,41,26,,0.746212121,0.15530303,0.098484848
197,41,25,,0.74904943,0.155893536,0.095057034
195,41,27,,0.741444867,0.155893536,0.102661597
,,,,,,
Mean,,,,Average,,
202.18,39.24,26.09,,0.755809059,0.146724676,0.097466265
Standard Deviation,,,,Standard Deviation,,
7.732105441,1.621322568,1.706168251,,0.006588258,0.004193755,0.003933407
