R,G,B,,Rbar,Gbar,Bbar
255,65,24,,0.74127907,0.188953488,0.069767442
254,65,24,,0.740524781,0.189504373,0.069970845
253,64,24,,0.741935484,0.187683284,0.070381232
254,63,24,,0.744868035,0.184750733,0.070381232
255,66,25,,0.73699422,0.190751445,0.072254335
255,65,23,,0.743440233,0.189504373,0.067055394
251,65,25,,0.736070381,0.190615836,0.073313783
252,65,25,,0.736842105,0.19005848,0.073099415
252,64,24,,0.741176471,0.188235294,0.070588235
252,64,25,,0.739002933,0.187683284,0.073313783
253,65,25,,0.737609329,0.189504373,0.072886297
251,65,24,,0.738235294,0.191176471,0.070588235
251,65,25,,0.736070381,0.190615836,0.073313783
251,66,25,,0.733918129,0.192982456,0.073099415
250,66,24,,0.735294118,0.194117647,0.070588235
255,68,25,,0.732758621,0.195402299,0.07183908
254,67,23,,0.738372093,0.194767442,0.066860465
253,68,24,,0.733333333,0.197101449,0.069565217
254,71,23,,0.729885057,0.204022989,0.066091954
254,69,25,,0.729885057,0.198275862,0.07183908
254,67,23,,0.738372093,0.194767442,0.066860465
256,69,25,,0.731428571,0.197142857,0.071428571
243,66,22,,0.734138973,0.19939577,0.066465257
236,64,20,,0.7375,0.2,0.0625
238,66,22,,0.73006135,0.202453988,0.067484663
238,66,22,,0.73006135,0.202453988,0.067484663
238,66,22,,0.73006135,0.202453988,0.067484663
238,66,22,,0.73006135,0.202453988,0.067484663
251,66,24,,0.736070381,0.193548387,0.070381232
250,66,24,,0.735294118,0.194117647,0.070588235
250,66,25,,0.73313783,0.193548387,0.073313783
249,65,22,,0.741071429,0.193452381,0.06547619
250,66,24,,0.735294118,0.194117647,0.070588235
274,65,26,,0.750684932,0.178082192,0.071232877
275,67,26,,0.747282609,0.182065217,0.070652174
277,68,28,,0.742627346,0.18230563,0.075067024
258,63,23,,0.75,0.183139535,0.066860465
257,63,23,,0.749271137,0.183673469,0.067055394
258,64,24,,0.74566474,0.184971098,0.069364162
256,61,22,,0.755162242,0.179941003,0.064896755
257,62,22,,0.753665689,0.181818182,0.064516129
258,64,22,,0.75,0.186046512,0.063953488
255,63,23,,0.747800587,0.184750733,0.06744868
254,64,24,,0.742690058,0.187134503,0.070175439
254,64,24,,0.742690058,0.187134503,0.070175439
254,63,24,,0.744868035,0.184750733,0.070381232
254,63,24,,0.744868035,0.184750733,0.070381232
255,63,23,,0.747800587,0.184750733,0.06744868
267,63,23,,0.756373938,0.178470255,0.065155807
269,65,24,,0.751396648,0.181564246,0.067039106
269,65,25,,0.749303621,0.181058496,0.069637883
268,65,25,,0.748603352,0.181564246,0.069832402
269,66,25,,0.747222222,0.183333333,0.069444444
269,64,24,,0.753501401,0.179271709,0.067226891
267,63,24,,0.754237288,0.177966102,0.06779661
269,65,24,,0.751396648,0.181564246,0.067039106
268,64,24,,0.752808989,0.179775281,0.06741573
256,63,24,,0.746355685,0.183673469,0.069970845
259,65,25,,0.742120344,0.186246418,0.071633238
257,63,23,,0.749271137,0.183673469,0.067055394
257,62,23,,0.751461988,0.18128655,0.067251462
258,64,25,,0.74351585,0.18443804,0.07204611
258,64,23,,0.747826087,0.185507246,0.066666667
266,64,25,,0.749295775,0.18028169,0.070422535
266,64,25,,0.749295775,0.18028169,0.070422535
265,63,24,,0.752840909,0.178977273,0.068181818
266,61,24,,0.757834758,0.173789174,0.068376068
264,62,23,,0.756446991,0.17765043,0.065902579
264,64,25,,0.747875354,0.181303116,0.07082153
266,64,25,,0.749295775,0.18028169,0.070422535
245,62,24,,0.740181269,0.187311178,0.072507553
245,62,23,,0.742424242,0.187878788,0.06969697
244,63,24,,0.737160121,0.190332326,0.072507553
245,63,24,,0.737951807,0.189759036,0.072289157
245,64,24,,0.735735736,0.192192192,0.072072072
245,62,23,,0.742424242,0.187878788,0.06969697
244,62,24,,0.739393939,0.187878788,0.072727273
246,62,24,,0.740963855,0.186746988,0.072289157
247,64,24,,0.737313433,0.191044776,0.071641791
246,62,23,,0.743202417,0.187311178,0.069486405
245,62,24,,0.740181269,0.187311178,0.072507553
245,62,23,,0.742424242,0.187878788,0.06969697
247,64,25,,0.735119048,0.19047619,0.074404762
247,64,24,,0.737313433,0.191044776,0.071641791
246,62,24,,0.740963855,0.186746988,0.072289157
246,63,25,,0.736526946,0.188622754,0.074850299
247,63,24,,0.739520958,0.188622754,0.071856287
246,62,25,,0.738738739,0.186186186,0.075075075
246,62,24,,0.740963855,0.186746988,0.072289157
245,62,23,,0.742424242,0.187878788,0.06969697
246,62,23,,0.743202417,0.187311178,0.069486405
248,64,25,,0.735905045,0.189910979,0.074183976
248,63,24,,0.740298507,0.188059701,0.071641791
247,63,24,,0.739520958,0.188622754,0.071856287
248,64,25,,0.735905045,0.189910979,0.074183976
247,63,24,,0.739520958,0.188622754,0.071856287
246,62,24,,0.740963855,0.186746988,0.072289157
246,62,23,,0.743202417,0.187311178,0.069486405
245,62,24,,0.740181269,0.187311178,0.072507553
247,64,24,,0.737313433,0.191044776,0.071641791
,,,,,,
Mean,,,,Average,,
253.43,64.16,23.91,,0.742003462,0.187975887,0.070020651
Standard Deviation,,,,Standard Deviation,,
8.889052397,1.884117563,1.101835017,,0.006860016,0.006166723,0.002671165
